nummer,deipte (m),Porositeit (%),hor. Perm (mD),Korreldichtheid (g/cm³)
K-0001,3112.05,13.2,10,2.65
K-0001C,3112.05,13.2,10,-
K-0002,3112.35,12.5,7.7,2.65
K-0002N,3112.35,12.6,10,2.65
K-0003,3112.65,14,29,2.65
K-0004,3112.96,12.7,11,2.66
K-0005,3113.24,13.4,20,2.65
K-0006,3113.63,8.4,11,2.72
K-0007,3114.05,12.2,89,2.65
K-0007C,3114.05,12.2,89,-
K-0008,3114.35,10.2,42,2.67
K-0009,3114.75,12.6,6.2,2.65
K-0010,3115.4,7.9,0.01,2.7
K-0011,3115.7,11,3.1,2.66
K-0012,3116,13.2,77,2.65
K-0012N,3116,13.2,84,2.65
K-0013,3116.28,13.8,27,2.65
K-0013C,3116.28,13.8,27,-
K-0014,3116.65,11.2,4.2,2.66
K-0015,3116.98,13.8,28,2.64
K-0016,3117.27,13.2,18,2.65
K-0016N,3117.27,12.9,21,0.66
K-0017,3117.57,13,47,2.66
K-0018,3117.82,6.8,5.9,2.7
K-0019,3118.1,14.2,30,2.65
K-0019N,3118.1,13.8,36,2.65
K-0020,3118.39,14.1,23,2.65
K-0021,3118.69,5.8,0.88,2.7
K-0022,3118.96,2.6,0.03,2.73
K-0023,3119.25,5.4,0.38,2.7
K-0024,3119.52,9.8,0.5,2.67
K-0025,3119.8,2.1,0.01,2.75
K-0026,3120.08,3,0.01,2.75
K-0027,3120.52,2.2,0.01,2.75
K-0028,3121.06,2.9,0.01,2.74
K-0029,3121.56,1.4,-,2.91
K-0030,3121.83,1.6,0.01,2.91
K-0031,3122.8,0.7,-,2.89
K-0032,3123.1,1.2,0.01,2.93
K-0033,3123.69,1.5,-,2.82
K-0034,3124.09,2,0.02,2.87
K-0035,3124.5,0.9,-,2.86
K-0036,3124.87,0.8,-,2.83
K-0037,3154.03,14.2,10,2.65
K-0037N,3154.03,14.2,16,2.65
K-0038,3154.3,7.4,1.1,2.68
K-0039,3154.69,4.9,0.75,2.74
K-0040,3155.13,3.4,0.01,2.72
K-0041,3155.43,4.4,0.01,2.72
K-0042,3155.7,5.9,0.01,2.68
K-0043,3156,4.9,0.02,2.74
K-0044,3156.29,9,0.13,2.68
K-0045,3156.62,3.6,0.02,2.68
K-0046,3156.96,5.5,-,2.71
K-0047,3157.22,8.7,0.31,2.71
K-0048,3157.53,5,0.05,2.75
K-0049,3157.73,4.7,0.08,2.75
