,,,
Stratigrafische eenheid,Bovenkant (m),Onderkant (m),Anomaliecode
Boven-Noordzee Groep,0,430,
Formatie van Ommelanden,430,516,
Formatie van Texel,516,551,
Boven-Holland Mergel Laagpakket,551,722.5,
Midden-Holland Kleisteen Laagpakket,722.5,780,
Holland Groenzand Laagpakket,780,822,
Onder-Holland Mergel Laagpakket,822,1003.5,
Laagpakket van De Lier,1003.5,1095,
Vlieland Kleisteen Formatie,1095,1271.5,
Berkel Zandsteen Laagpakket,1271.5,1360,
Berkel Zand-Kleisteen Laagpakket,1360,1454,
Laagpakket van Rijswijk,1454,1482,
Rodenrijs Kleisteen Laagpakket,1482,1605.97,
Delft Zandsteen Laagpakket,1605.97,1625.81,
Laagpakket van Alblasserdam,1625.81,1889.5,
Onder-Brabant Mergel Laagpakket,1889.5,1900,
Onder-Brabant Kalksteen Laagpakket,1900,1966,
Boven-Werkendam Laagpakket,1966,2146,
Midden-Werkendam Laagpakket,2146,2210,
Onder-Werkendam Laagpakket,2210,2441.4,
Posidonia Schalie Formatie,2441.4,2478.32,
Formatie van Aalburg,2478.32,2925,
Formatie van Sleen,2925,2957,
Boven-Keuper Kleisteen Laagpakket,2957,2969,
Dolomitische Keuper Laagpakket,2969,3000,
Rode Keuper Kleisteen Laagpakket,3000,3007,
Midden-Muschelkalk Mergel Laagpakket,3007,3022,
Muschelkalk Evaporiet Laagpakket,3022,3030,
Onder-Muschelkalk Laagpakket,3030,3068,
Boven-Röt Randkleisteen Laagpakket,3068,3081,
Röt Randzandsteen Laagpakket,3081,3115,
Onder-Röt Randkleisteen Laagpakket,3115,3140,
Solling Kleisteen Laagpakket,3140,3149,
Basale Solling Zandsteen Laagpakket,3149,3160,
Detfurth Kleisteen Laagpakket,3160,3168,
Onder-Detfurth Zandsteen Laagpakket,3168,3176,
Boven-Volpriehausen Zandsteen Laagpakket,3176,3219,
Onder-Volpriehausen Zandsteen Laagpakket,3219,3264,
Rogenstein Laagpakket,3264,3352,
Hoofd-Kleisteen Laagpakket,3352,3445,
Zechstein Boven-Kleisteen Formatie,3445,3460,
Z1 Onder-Kleisteen Laagpakket,3460,3474,TD
Formatie van Slochteren,3474,3483,
Formatie van Strijen,3483,3700,
